Temp Num, Object(℃), Ambient(℃)
1159, 37.917, 37.538
1160, 37.898, 37.538
1161, 37.898, 37.538
1162, 37.894, 37.531
1163, 37.894, 37.531
1164, 37.885, 37.531
1165, 37.904, 37.531
1166, 37.914, 37.531
1167, 37.894, 37.531
1168, 37.894, 37.524
1169, 37.875, 37.524
1170, 37.894, 37.524
1171, 37.904, 37.524
1172, 37.875, 37.524
1173, 37.853, 37.517
1174, 37.872, 37.517
1175, 37.881, 37.517
1176, 37.881, 37.510
1177, 37.881, 37.510
1178, 37.891, 37.517
1179, 37.881, 37.517
1180, 37.872, 37.510
1181, 37.858, 37.502
1182, 37.878, 37.495
1183, 37.858, 37.495
1184, 37.849, 37.495
1185, 37.868, 37.495
1186, 37.868, 37.495
1187, 37.864, 37.488
1188, 37.851, 37.481
1189, 37.841, 37.481
1190, 37.851, 37.481
1191, 37.880, 37.473
1192, 37.851, 37.473
1193, 37.870, 37.473
1194, 37.857, 37.466
1195, 37.819, 37.466
1196, 37.828, 37.459
1197, 37.815, 37.452
1198, 37.825, 37.452
1199, 37.815, 37.452
1200, 37.796, 37.452
1201, 37.796, 37.452
1202, 37.805, 37.452
1203, 37.815, 37.452
1204, 37.777, 37.452
1205, 37.767, 37.452
1206, 37.825, 37.452
1207, 37.825, 37.452
1208, 37.815, 37.452
1209, 37.825, 37.452
1210, 37.805, 37.452
1211, 37.805, 37.452
1212, 37.815, 37.452
1213, 37.786, 37.452
1214, 37.786, 37.445
1215, 37.805, 37.445
1216, 37.815, 37.445
1217, 37.792, 37.437
1218, 37.802, 37.437
1219, 37.811, 37.437
1220, 37.802, 37.430
1221, 37.811, 37.430
1222, 37.830, 37.437
1223, 37.821, 37.437
1224, 37.802, 37.430
1225, 37.802, 37.430
